town,page,url,property_type,price,address,postal_code,city,bedrooms,bedroom1_surface,bedroom2_surface,bathrooms,toilets,surface_livable,terrace,terrace_surface,terrace_orientation,floor,year_built,condition,kitchen_equipment,cellar,glazing_type,elevator,entry_phone,epc_score,epc_total,epc_valid_until 
brussel,5,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbc89347,Duplex,500 000 €,Rue Fulton 27 2 1000 Brussels,27,Brussels,2,15 m²,13 m²,2,2,93 m²,Yes,9 m²,South,2,1929,Fully renovated,Super equipped,Yes,Double glass,No,Yes,77 kWh/m²/year,7154 kWh/year,
brussel,5,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vbc89559,Duplex,475 000 €,Rue Saint-Jean 43 1000 Brussels,43,Brussels,2,,,1,2,105 m²,Yes,,,1,1853,,Fully equipped,Yes,Double glass,,,88 kWh/m²/year,,
brussel,5,https://immovlan.be/en/detail/duplex/for-sale/1020/laken/vbc89327,Duplex,285 000 €,avenue huldergem 25 1020 Laken,25,Laken,2,16 m²,11 m²,2,2,125 m²,Yes,11 m²,South,3,1980,To renovate,Fully equipped,Yes,Double glass,Yes,Yes,375 kWh/m²/year,46874 kWh/year,06/08/2034
brussel,5,https://immovlan.be/en/detail/ground-floor/for-sale/1020/laken/rbt68984,Ground,275 000 €,Avenue de Lima 17 1 1020 Laken,17,Laken,1,,,1,,78 m²,Yes,,,,1989,Normal,,No,Double glass,Yes,Yes,427 kWh/m²/year,,22/10/2031
brussel,5,https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbc89440,Mixed,499 000 €,Rue Pletinckx 47 1000 Brussels,47,Brussels,4,10 m²,10 m²,4,4,220 m²,,,,,1915,To be renovated,Partially equipped,,,No,,367 kWh/m²/year,15277 kWh/year,21/06/2033
brussel,5,https://immovlan.be/en/detail/mixed-building/for-sale/1020/laken/rbt69625,Mixed,675 000 €,Rue Edmond Tollenaere 81 1020 Laken,81,Laken,3,,,2,5,300 m²,,,,,,To be renovated,,No,,No,,332 kWh/m²/year,,16/02/2032
brussel,5,https://immovlan.be/en/detail/penthouse/for-sale/1000/brussels/vwd13887,Penthouse,899 000 €,Rue de Spa 52 1000 Brussels,52,Brussels,3,18 m²,17 m²,2,,190 m²,Yes,160 m²,,4,2005,Excellent,Fully equipped,Yes,Double glass,Yes,,179 kWh/m²/year,,
brussel,5,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/vwd13876,Residence,1 195 000 €,Rue Rembrandt 12 1000 Brussels,12,Brussels,5,,,,,290 m²,Yes,,North-west,,1900,Excellent,Super equipped,Yes,Double glass,,,259 kWh/m²/year,259 kWh/year,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88575,Apartment,399 000 €,1000 Brussels,1000,Brussels,2,16 m²,10 m²,2,1,93 m²,Yes,10 m²,,10,2014,Excellent,Super equipped,Yes,Double glass,Yes,Yes,,77 kWh/year,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88629,Apartment,2 785 000 €,Rue Saint-Quentin 36-38 1000 Brussels,1000,Brussels,7,20 m²,19 m²,7,2,785 m²,Yes,147 m²,,1,1970,Excellent,Super equipped,,Double glass,No,Yes,134 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88710,Apartment,Make offer from 199 000 €,Rue Antoine Dansaert 163 1000 Brussels,163,Brussels,1,,,1,1,75 m²,Yes,,,1,1900,To be renovated,,,,No,,11150 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88883,Apartment,295 000 €,Rue Bordiau 61 1000 Brussels,61,Brussels,1,,,,1,65 m²,Yes,4 m²,,2,,Fully renovated,,No,,No,,445 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88963,Apartment,289 000 €,1000 Brussels,1000,Brussels,2,,,1,,100 m²,,,,3,,Normal,,No,,No,,130 kWh/m²/year,,08/02/2034
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88978,Apartment,285 000 €,Pelikaanstraat 38 H4PL 1000 Brussels,38,Brussels,2,,,,,76 m²,Yes,,,4,2007,Excellent,,No,,Yes,,229 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88979,Apartment,159 000 €,Kiekenmarkt 52 111 1000 Brussels,52,Brussels,1,,,1,,30 m²,,,,1,2015,Excellent,,No,,Yes,,312 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc88459,Apartment,259 000 €,Avenue du Frêne 48 1020 Laken,48,Laken,2,14 m²,9 m²,1,1,82 m²,Yes,8 m²,,4,1970,Normal,,,,Yes,,723 kWh/m²/year,,05/05/2035
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc88610,Apartment,240 000 €,Avenue de l'Arbre Ballon 115 1 1020 Laken,115,Laken,2,13 m²,10 m²,1,1,92 m²,Yes,8 m²,,3,1970,Normal,Fully equipped,,,Yes,,194 kWh/m²/year,,16/10/2034
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc89089,Apartment,415 000 €,Boulevard Emile Bockstael 198 1020 Laken,198,Laken,3,,,2,,187 m²,,,,1,,Normal,,No,,No,,353 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/apartment/for-sale/1020/laken/vbc89163,Apartment,Make offer from 150 000 €,Avenue Mutsaard 77 43 1020 Laken,77,Laken,2,15 m²,9 m²,1,1,76 m²,Yes,18 m²,West,15,1987,Normal,Super equipped,,Double glass,Yes,Yes,244 kWh/m²/year,,06/02/2033
brussel,6,https://immovlan.be/en/detail/duplex/for-sale/1000/brussels/vwd13860,Duplex,685 000 €,Avenue Michel-Ange 8 1000 Brussels,8,Brussels,2,14 m²,12 m²,2,,125 m²,Yes,,South-west,3,,Excellent,Super equipped,Yes,Double glass,,Yes,139 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/ground-floor/for-sale/1000/brussels/vbc88559,Ground,470 000 €,Rue de l'Abdication 9 1000 Brussels,9,Brussels,2,,,2,2,170 m²,Yes,,,0,1900,Normal,Super equipped,,,No,,437 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/loft/for-sale/1000/brussels/vbc88949,Loft,310 000 €,1000 Brussels,1000,Brussels,2,,,,2,70 m²,Yes,6 m²,,2,2012,,,No,,Yes,,121 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/mixed-building/for-sale/1000/brussels/vbc89149,Mixed,2 785 000 €,Rue Saint-Quentin 36-38 1000 Brussels,1000,Brussels,7,20 m²,19 m²,7,2,785 m²,Yes,147 m²,,,1970,Excellent,Super equipped,,Double glass,No,Yes,134 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/residence/for-sale/1000/brussels/rbt68806,Residence,1 180 000 €,rue Le Corrège 23 1000 Brussels,23,Brussels,6,,,3,4,360 m²,No,,,,,To be renovated,Super equipped,,,No,,271 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbc88907,Residence,429 000 €,Rue des Palais Outre-Ponts 484 1020 Laken,484,Laken,6,,,1,,276 m²,,,,,,,,,Double glass,No,,511 kWh/m²/year,141011 kWh/year,
brussel,6,https://immovlan.be/en/detail/residence/for-sale/1020/laken/vbc88908,Residence,Make offer from 899 000 €,Rue de Vrière 45 1020 Laken,45,Laken,4,35 m²,34 m²,2,3,330 m²,Yes,,,,1861,To renovate,Fully equipped,,Double glass,,,583 kWh/m²/year,151925 kWh/year,
brussel,6,https://immovlan.be/en/detail/residence/for-sale/1120/neder-over-heembeek/vbc89100,Residence,525 000 €,Rue Léon Daumerie 35 1120 Neder-Over-Heembeek,35,Neder-Over-Heembeek,4,14 m²,19 m²,1,1,140 m²,Yes,27 m²,,,,Normal,Super equipped,Yes,Double glass,No,,320 kWh/m²/year,,
brussel,6,https://immovlan.be/en/detail/studio/for-sale/1000/brussels/vwd13870,Studio,209 000 €,du chien marin 19 1000 Brussels,19,Brussels,1,,,1,,33 m²,Yes,5 m²,,3,2013,Fully renovated,Super equipped,Yes,Double glass,Yes,Yes,138 kWh/m²/year,,
brussel,7,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbt67632,Apartment,361 000 €,1000 Brussels,1000,Brussels,2,,,1,2,114 m²,Yes,8 m²,,,,New,,No,,Yes,,,,
